epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,44988.3,0.50923,0.25947,0.79479,0.99682,1,0.995,0.8816,0.70985,0.30335,0.80757,0.000135764,0.000135764,0.000135764
135,45318.1,0.51826,0.26155,0.79533,0.99707,1,0.995,0.88594,0.69661,0.30199,0.80675,0.000128432,0.000128432,0.000128432
136,45662.9,0.50715,0.25896,0.79402,0.9968,1,0.995,0.87842,0.70213,0.30438,0.80813,0.000121099,0.000121099,0.000121099
137,46008.5,0.5021,0.25729,0.79283,0.99714,1,0.995,0.88475,0.69482,0.30045,0.80729,0.000113766,0.000113766,0.000113766
138,46357.1,0.50256,0.25398,0.79567,0.99679,1,0.995,0.88384,0.69544,0.30018,0.80752,0.000106434,0.000106434,0.000106434
139,46706.6,0.49926,0.2542,0.79231,0.99661,1,0.995,0.88309,0.70161,0.29949,0.80754,9.91012e-05,9.91012e-05,9.91012e-05
140,47056.5,0.51056,0.25947,0.7932,0.99656,1,0.995,0.87896,0.7086,0.30099,0.8082,9.17686e-05,9.17686e-05,9.17686e-05
141,47405.9,0.49202,0.24917,0.78766,0.99598,1,0.995,0.88232,0.71753,0.30436,0.80846,8.4436e-05,8.4436e-05,8.4436e-05
142,47752.5,0.46464,0.23795,0.78807,0.99605,1,0.995,0.88372,0.70769,0.30116,0.80741,7.71034e-05,7.71034e-05,7.71034e-05
143,48099,0.46248,0.23457,0.78623,0.99594,1,0.995,0.88622,0.7028,0.29987,0.80667,6.97708e-05,6.97708e-05,6.97708e-05
144,48446,0.46377,0.23639,0.7919,0.99588,1,0.995,0.88187,0.70357,0.30105,0.8068,6.24382e-05,6.24382e-05,6.24382e-05
145,48793.2,0.46099,0.23714,0.78561,0.99664,1,0.995,0.88576,0.70668,0.30174,0.80739,5.51056e-05,5.51056e-05,5.51056e-05
146,49124.6,0.46298,0.23584,0.79175,0.99797,1,0.995,0.88419,0.70211,0.3022,0.80756,4.7773e-05,4.7773e-05,4.7773e-05
147,49470.5,0.46127,0.23621,0.78637,0.99705,1,0.995,0.88198,0.70779,0.30152,0.80791,4.04404e-05,4.04404e-05,4.04404e-05
148,49816.8,0.46313,0.23652,0.7917,0.9959,1,0.995,0.88301,0.70809,0.30095,0.8081,3.31078e-05,3.31078e-05,3.31078e-05
149,50162.7,0.45681,0.23318,0.78636,0.9967,1,0.995,0.88318,0.70808,0.30059,0.80816,2.57752e-05,2.57752e-05,2.57752e-05
150,50508.5,0.45566,0.23236,0.78729,0.99674,1,0.995,0.88613,0.70847,0.30126,0.80814,1.84426e-05,1.84426e-05,1.84426e-05
